,Name,Gender,Parliament,YOB,Parliament_Year,Age@Parliament,Age_buckets
0,"Sangha, Ramesh",M,43,1945,2019,74,71+
1,"Lefebvre, Paul",M,43,1968,2019,51,51-60
2,"Kmiec, Tom",M,43,1981,2019,38,31-40
3,"Leslie, Andrew",M,42,1957,2015,58,51-60
4,"Robillard, Yves",M,43,1936,2019,83,71+
5,"Easter, Wayne",M,42,1949,2015,66,61-70
6,"McKinnon, Ron",M,43,1951,2019,68,61-70
7,"Sopuck, Robert",M,42,1951,2015,64,61-70
8,"Vandal, Daniel",M,42,1960,2015,55,51-60
9,"Chiu, Kenny",M,43,1965,2019,54,51-60
10,"Duncan, Kirsty",F,43,1966,2019,53,51-60
11,"Rodriguez, Pablo",M,42,1967,2015,48,41-50
12,"Choquette, François",M,42,1974,2015,41,41-50
13,"Stubbs, Shannon",F,43,1979,2019,40,31-40
14,"Fraser, Sean",M,43,1984,2019,35,31-40
15,"Garrison, Randall",M,42,1951,2015,64,61-70
16,"Young, Terence H.",M,41,1952,2011,59,51-60
17,"Van Popta, Tako",M,43,1953,2019,66,61-70
18,"Williamson, John",M,41,1970,2011,41,41-50
19,"Wilson-Raybould, Jody",F,42,1971,2015,44,41-50
20,"Weir, Erin",M,42,1979,2015,36,31-40
21,"Atwin, Jenica",F,43,1984,2019,35,31-40
22,"Lightbound, Joël",M,42,1988,2015,27,18-30
23,"Badanai, Hubert",M,28,1895,1968,73,71+
24,"Diefenbaker, John George",M,28,1895,1968,73,71+
25,"MacDonald, Flora Isabel",F,33,1904,1984,80,71+
26,"Rynard, Philip Bernard",M,28,1897,1968,71,71+
27,"Flemming, Hugh John",M,28,1899,1968,69,61-70
28,"Michener, Daniel Roland",M,28,1900,1968,68,61-70
29,"Robillard, Yves",M,42,1936,2015,79,71+
30,"Charbonneau, Louise",F,43,1940,2019,79,71+
31,"Harris, Richard M.",M,40,1930,2008,78,71+
32,"Fry, Hedy",F,43,1941,2019,78,71+
33,"Hardie, Ken",M,43,1941,2019,78,71+
34,"Noble, Percy Verner",M,28,1902,1968,66,61-70
35,"Rochon, Jean-Léo",M,28,1902,1968,66,61-70
36,"Darling, Stan",M,34,1911,1988,77,71+
37,"Bratina, Bob",M,42,1938,2015,77,71+
38,"MacDonald, Flora Isabel",F,32,1904,1980,76,71+
39,"Harris, Richard M.",M,39,1930,2006,76,71+
40,"Williams, John G.",M,39,1932,2006,74,71+
41,"Kent, Peter",M,43,1943,2019,76,71+
42,"Plamondon, Louis",M,43,1943,2019,76,71+
43,"Cadieu, Albert C. (Bert)",M,28,1903,1968,65,61-70
44,"Harkness, Douglas Scott",M,28,1903,1968,65,61-70
45,"Casey, William D. (Bill)",M,34,1913,1988,75,71+
46,"Bratina, Bob",M,43,1944,2019,75,71+
47,"Sgro, Judy",F,43,1944,2019,75,71+
48,"Monteith, Jay Waldo",M,28,1903,1968,65,61-70
49,"Muir, George Robson",M,28,1903,1968,65,61-70
50,"Douglas, Thomas Clement (Tommy)",M,28,1904,1968,64,61-70
51,"Hees, George Harris",M,33,1910,1984,74,71+
52,"Taylor, Gordon Edward",M,33,1910,1984,74,71+
53,"Harris, Richard M.",M,38,1930,2004,74,71+
54,"Williams, John G.",M,38,1932,2004,72,71+
55,"Ouellet, Christian",M,40,1934,2008,74,71+
56,"Boughen, Ray",M,41,1937,2011,74,71+
57,"Fry, Hedy",F,42,1941,2015,74,71+
58,"Hardie, Ken",M,42,1941,2015,74,71+
59,"Tilson, David",M,42,1941,2015,74,71+
60,"Grills, Lee Elgy",M,28,1904,1968,64,61-70
61,"Noël, Aurélien",M,28,1904,1968,64,61-70
62,"MacInnis, Winona Grace",F,28,1905,1968,63,61-70
63,"Darling, Stan",M,33,1911,1984,73,71+
64,"McWhinney, Edward Watson (Ted)",M,36,1924,1997,73,71+
65,"Mercier, Paul",M,36,1924,1997,73,71+
66,"White, Ted",M,37,1931,2000,69,61-70
67,"Comuzzi, Joseph R. (Joe)",M,39,1933,2006,73,71+
68,"Bergen, Candice",F,43,1946,2019,73,71+
69,"MacAulay, Lawrence",M,43,1946,2019,73,71+
70,"MacKenzie, Dave",M,43,1946,2019,73,71+
71,"Howe, William Marvin",M,28,1906,1968,62,61-70
72,"Baldwin, Gerald William",M,28,1907,1968,61,61-70
73,"Knowles, Stanley Howard",M,32,1908,1980,72,71+
74,"Hamilton, Francis Alvin George",M,33,1912,1984,72,71+
75,"Bailey, Roy H.",M,37,1928,2000,72,71+
76,"Grose, Ivan",M,37,1928,2000,72,71+
77,"Lincoln, Clifford",M,37,1928,2000,72,71+
78,"Schmidt, Werner",M,38,1932,2004,72,71+
79,"Wayne, Elsie Eleanore",F,37,1932,2000,68,61-70
80,"Williams, John G.",M,37,1932,2000,68,61-70
81,"Ouellet, Christian",M,39,1934,2006,72,71+
82,"O'Connor, Gordon",M,41,1939,2011,72,71+
83,"Kent, Peter",M,42,1943,2015,72,71+
84,"Plamondon, Louis",M,42,1943,2015,72,71+
85,"Levitt, Michael",M,43,1947,2019,72,71+
86,"Brewin, Francis Andrew",M,28,1907,1968,61,61-70
87,"Richard, Jean-Thomas",M,28,1907,1968,61,61-70
88,"Southam, Richard Russell",M,28,1907,1968,61,61-70
89,"Winch, Harold Edward",M,28,1907,1968,61,61-70
90,"Cadieux, Léo Alphonse Joseph",M,28,1908,1968,60,51-60
91,"Duquet, Gérard",M,32,1909,1980,71,71+
92,"Finlay, John Baird",M,37,1929,2000,71,71+
93,"Comuzzi, Joseph R. (Joe)",M,38,1933,2004,71,71+
94,"Boughen, Ray",M,40,1937,2008,71,71+
95,"Cotler, Irwin",M,41,1940,2011,71,71+
96,"Oliver, Joe",M,41,1940,2011,71,71+
97,"St-Denis, Lise",F,41,1940,2011,71,71+
98,"Lauzon, Guy",M,42,1944,2015,71,71+
99,"Sgro, Judy",F,42,1944,2015,71,71+
100,"Harris, Jack",M,43,1948,2019,71,71+
101,"McKay, John",M,43,1948,2019,71,71+
102,"Shields, Martin",M,43,1948,2019,71,71+
103,"Wong, Alice",F,42,1948,2015,67,61-70
104,"Wong, Alice",F,43,1948,2019,71,71+
105,"Dionne, Charles-Eugène",M,28,1908,1968,60,51-60
106,"Knowles, Stanley Howard",M,28,1908,1968,60,51-60
107,"Knowles, William David",M,28,1908,1968,60,51-60
108,"Mongrain, Joseph-Alfred",M,28,1908,1968,60,51-60
109,"Tétrault, Oza",M,28,1908,1968,60,51-60
110,"Barnett, Thomas Speakman",M,28,1909,1968,59,51-60
111,"Duquet, Gérard",M,28,1909,1968,59,51-60
112,"Hales, Alfred Dryden",M,28,1909,1968,59,51-60
113,"Lewis, David",M,28,1909,1968,59,51-60
114,"Hees, George Harris",M,32,1910,1980,70,61-70
115,"Taylor, Gordon Edward",M,32,1910,1980,70,61-70
116,"Dumas, Maurice",M,36,1927,1997,70,61-70
117,"Caccia, Charles L.",M,37,1930,2000,70,61-70
118,"Harris, Richard M.",M,37,1930,2000,70,61-70
119,"Thompson, Myron",M,39,1936,2006,70,61-70
120,"Fry, Hedy",F,41,1941,2011,70,61-70
121,"Tilson, David",M,41,1941,2011,70,61-70
122,"Casey, William D. (Bill)",M,42,1945,2015,70,61-70
123,"Sangha, Ramesh",M,42,1945,2015,70,61-70
124,"Bagnell, Larry",M,43,1949,2019,70,61-70
125,"Duguid, Terry",M,43,1949,2019,70,61-70
126,"Easter, Wayne",M,43,1949,2019,70,61-70
127,"Finnigan, Pat",M,43,1949,2019,70,61-70
128,"Garneau, Marc",M,43,1949,2019,70,61-70
129,"Liepert, Ron",M,43,1949,2019,70,61-70
130,"Maguire, Larry",M,43,1949,2019,70,61-70
131,"Waugh, Kevin",M,42,1949,2015,66,61-70
132,"Waugh, Kevin",M,43,1949,2019,70,61-70
133,"Mather, Barry",M,28,1909,1968,59,51-60
134,"McIntosh, John (Jack)",M,28,1909,1968,59,51-60
135,"Ricard, J.-H.-Théogène",M,28,1909,1968,59,51-60
136,"Beer, Bruce Silas",M,28,1910,1968,58,51-60
137,"Darling, Stan",M,32,1911,1980,69,61-70
138,"Patterson, Alexander Bell",M,32,1911,1980,69,61-70
139,"Mitges, Constantine George (Gus)",M,34,1919,1988,69,61-70
140,"McWhinney, Edward Watson (Ted)",M,35,1924,1993,69,61-70
141,"Mercier, Paul",M,35,1924,1993,69,61-70
142,"Bailey, Roy H.",M,36,1928,1997,69,61-70
143,"Grose, Ivan",M,36,1928,1997,69,61-70
144,"Lincoln, Clifford",M,36,1928,1997,69,61-70
145,"Dromisky, Stanley Peter (Stan)",M,37,1931,2000,69,61-70
146,"Gray, Herbert Eser (Herb)",M,37,1931,2000,69,61-70
147,"White, Ted",M,36,1931,1997,66,61-70
148,"O'Connor, Gordon",M,40,1939,2008,69,61-70
149,"Fantino, Julian",M,41,1942,2011,69,61-70
150,"Turmel, Nycole",F,41,1942,2011,69,61-70
151,"Bergen, Candice",F,42,1946,2015,69,61-70
152,"Hogg, Gordie",M,42,1946,2015,69,61-70
153,"MacAulay, Lawrence",M,42,1946,2015,69,61-70
154,"MacKenzie, Dave",M,42,1946,2015,69,61-70
155,"Sidhu, Jati",M,42,1946,2015,69,61-70
156,"Bennett, Carolyn",F,43,1950,2019,69,61-70
157,"Jaczek, Helena",F,43,1950,2019,69,61-70
158,"Pauzé, Monique",F,43,1950,2019,69,61-70
159,"Van Bynen, Tony",M,43,1950,2019,69,61-70
160,"Warawa, Mark",M,42,1950,2015,65,61-70
161,"Hees, George Harris",M,28,1910,1968,58,51-60
162,"Pringle, M. Ervin",M,28,1910,1968,58,51-60
163,"Simpson, Robert",M,28,1910,1968,58,51-60
164,"Gleave, Alfred Pullen",M,28,1911,1968,57,51-60
165,"McQuaid, Melvin James",M,28,1911,1968,57,51-60
166,"Sharp, Mitchell William",M,28,1911,1968,57,51-60
167,"Walker, James Edgar",M,28,1911,1968,57,51-60
168,"Alkenbrack, Almonte Douglas",M,28,1912,1968,56,51-60
169,"Hamilton, Francis Alvin George",M,32,1912,1980,68,61-70
170,"Finlay, John Baird",M,36,1929,1997,68,61-70
171,"Bellemare, Eugène",M,37,1932,2000,68,61-70
172,"Richardson, John",M,37,1932,2000,68,61-70
173,"Schmidt, Werner",M,37,1932,2000,68,61-70
174,"Wayne, Elsie Eleanore",F,36,1932,1997,65,61-70
175,"Williams, John G.",M,36,1932,1997,65,61-70
176,"Adams, Peter",M,38,1936,2004,68,61-70
177,"Broadbent, John Edward",M,38,1936,2004,68,61-70
178,"Gagnon, Marcel",M,38,1936,2004,68,61-70
179,"Thompson, Myron",M,38,1936,2004,68,61-70
180,"Martin, Paul Edgar Philippe",M,39,1938,2006,68,61-70
181,"Cotler, Irwin",M,40,1940,2008,68,61-70
182,"Folco, Raymonde",F,40,1940,2008,68,61-70
183,"Lalonde, Francine",F,40,1940,2008,68,61-70
184,"Lévesque, Yvon",M,40,1940,2008,68,61-70
185,"Kent, Peter",M,41,1943,2011,68,61-70
186,"Plamondon, Louis",M,41,1943,2011,68,61-70
187,"Savoie, Denise",F,41,1943,2011,68,61-70
188,"Schellenberger, Gary",M,41,1943,2011,68,61-70
189,"Levitt, Michael",M,42,1947,2015,68,61-70
190,"Shipley, Bev",M,42,1947,2015,68,61-70
191,"Carr, Jim",M,43,1951,2019,68,61-70
192,"Garrison, Randall",M,43,1951,2019,68,61-70
193,"Lukiwski, Tom",M,43,1951,2019,68,61-70
194,"Ratansi, Yasmin",F,43,1951,2019,68,61-70
195,"Bigg, Frederick Johnstone (Jack)",M,28,1912,1968,56,51-60
196,"Blouin, Gustave",M,28,1912,1968,56,51-60
197,"Code, Desmond Morton",M,28,1912,1968,56,51-60
198,"Douglas, Albert B.",M,28,1912,1968,56,51-60
199,"Drury, Charles Mills (Bud)",M,28,1912,1968,56,51-60
200,"MacRae, John Chester",M,28,1912,1968,56,51-60
201,"McCutcheon, Maclyn (Mac) Thomas",M,28,1912,1968,56,51-60
202,"Smith, Walter Bernard",M,28,1912,1968,56,51-60
203,"Thomas, J. Antonio",M,28,1912,1968,56,51-60
204,"Clermont, Gaston",M,28,1913,1968,55,51-60
205,"McCain, Fred Alward",M,33,1917,1984,67,61-70
206,"McKinnon, Allan Bruce",M,33,1917,1984,67,61-70
207,"Reid, Joseph Lloyd",M,33,1917,1984,67,61-70
208,"Kempling, William James",M,34,1921,1988,67,61-70
209,"Scott, William C.",M,34,1921,1988,67,61-70
210,"Stupich, David",M,34,1921,1988,67,61-70
211,"Caccia, Charles L.",M,36,1930,1997,67,61-70
212,"Harris, Richard M.",M,36,1930,1997,67,61-70
213,"Comuzzi, Joseph R. (Joe)",M,37,1933,2000,67,61-70
214,"Leung, M. Sophia",F,37,1933,2000,67,61-70
215,"Augustine, Jean",F,38,1937,2004,67,61-70
216,"Cleary, Bernard",M,38,1937,2004,67,61-70
217,"Epp, Ken",M,39,1939,2006,67,61-70
218,"Graham, Bill",M,39,1939,2006,67,61-70
219,"O'Connor, Gordon",M,39,1939,2006,67,61-70
220,"Carrier, Robert",M,40,1941,2008,67,61-70
221,"Fry, Hedy",F,40,1941,2008,67,61-70
222,"Ménard, Serge",M,40,1941,2008,67,61-70
223,"Tilson, David",M,40,1941,2008,67,61-70
224,"Goldring, Peter",M,41,1944,2011,67,61-70
225,"Harris, Richard M.",M,41,1944,2011,67,61-70
226,"Lauzon, Guy",M,41,1944,2011,67,61-70
227,"Oda, Bev",F,41,1944,2011,67,61-70
228,"Sgro, Judy",F,41,1944,2011,67,61-70
229,"Eglinski, Jim",M,42,1948,2015,67,61-70
230,"McKay, John",M,42,1948,2015,67,61-70
231,"Shields, Martin",M,42,1948,2015,67,61-70
232,"Wong, Alice",F,41,1948,2011,63,61-70
233,"Kitchen, Robert Gordon",M,43,1952,2019,67,61-70
234,"Saroya, Bob",M,43,1952,2019,67,61-70
235,"Deachman, Grant",M,28,1913,1968,55,51-60
236,"Gauthier, Charles-Arthur",M,28,1913,1968,55,51-60
237,"Hymmen, Kieth Reinhardt",M,28,1913,1968,55,51-60
238,"Lambert, Joseph Adrien Henri",M,28,1913,1968,55,51-60
239,"Latulippe, Henry P.",M,28,1913,1968,55,51-60
240,"Lessard, H.-Pit",M,28,1913,1968,55,51-60
241,"Lind, James (Jim) Gordon",M,28,1913,1968,55,51-60
242,"Émard, René",M,28,1914,1968,54,51-60
243,"Gundlock, Deane Roscoe",M,28,1914,1968,54,51-60
244,"Harding, Randolph",M,28,1914,1968,54,51-60
245,"Kierans, Eric William",M,28,1914,1968,54,51-60
246,"L'Heureux, Yvon",M,28,1914,1968,54,51-60
247,"MacLean, John Angus",M,28,1914,1968,54,51-60
248,"Moore, Harry Andrew",M,28,1914,1968,54,51-60
249,"Smerchanski, Mark G.",M,28,1914,1968,54,51-60
250,"Crouse, Lloyd Roseville",M,33,1918,1984,66,61-70
251,"Orlikow, David",M,33,1918,1984,66,61-70
252,"Anderson, Edna",F,34,1922,1988,66,61-70
253,"Sauvé, Jeanne",F,34,1922,1988,66,61-70
254,"Van De Walle, Walter",M,34,1922,1988,66,61-70
255,"Dumas, Maurice",M,35,1927,1993,66,61-70
256,"Dromisky, Stanley Peter (Stan)",M,36,1931,1997,66,61-70
257,"Gray, Herbert Eser (Herb)",M,36,1931,1997,66,61-70
258,"Jones, Jim",M,36,1931,1997,66,61-70
259,"Sekora, Lou",M,36,1931,1997,66,61-70
260,"White, Ted",M,35,1931,1993,62,61-70
261,"Bachand, André",M,37,1934,2000,66,61-70
262,"Bachand, André",M,37,1934,2000,66,61-70
263,"Chrétien, Joseph Jacques Jean",M,37,1934,2000,66,61-70
264,"Martin, Paul Edgar Philippe",M,38,1938,2004,66,61-70
265,"Phinney, Elizabeth  (Beth)",F,38,1938,2004,66,61-70
266,"Cotler, Irwin",M,39,1940,2006,66,61-70
267,"Folco, Raymonde",F,39,1940,2006,66,61-70
268,"Hubbard, Charles",M,39,1940,2006,66,61-70
269,"Lalonde, Francine",F,39,1940,2006,66,61-70
270,"Lévesque, Yvon",M,39,1940,2006,66,61-70
271,"Perron, Gilles-A.",M,39,1940,2006,66,61-70
272,"Abbott, Jim",M,40,1942,2008,66,61-70
273,"Cummins, John Martin",M,40,1942,2008,66,61-70
274,"Dorion, Jean",M,40,1942,2008,66,61-70
275,"Fantino, Julian",M,40,1942,2008,66,61-70
276,"Neville, Anita",F,40,1942,2008,66,61-70
277,"Savage, Michael John",M,40,1942,2008,66,61-70
278,"Atamanenko, Alex",M,41,1945,2011,66,61-70
279,"Breitkreuz, Garry W.",M,41,1945,2011,66,61-70
280,"Payne, LaVar",M,41,1945,2011,66,61-70
281,"Raynault, Francine",F,41,1945,2011,66,61-70
282,"Albrecht, Harold",M,42,1949,2015,66,61-70
283,"Bagnell, Larry",M,42,1949,2015,66,61-70
284,"Duguid, Terry",M,42,1949,2015,66,61-70
285,"Duncan, Linda Francis",F,42,1949,2015,66,61-70
286,"Finnigan, Pat",M,42,1949,2015,66,61-70
287,"Garneau, Marc",M,42,1949,2015,66,61-70
288,"Goodale, Ralph",M,42,1949,2015,66,61-70
289,"Liepert, Ron",M,42,1949,2015,66,61-70
290,"Maguire, Larry",M,42,1949,2015,66,61-70
291,"Paradis, Denis",M,42,1949,2015,66,61-70
292,"Arnold, Mel",M,43,1953,2019,66,61-70
293,"Dreeshen, Earl",M,43,1953,2019,66,61-70
294,"McCrimmon, Karen",F,43,1953,2019,66,61-70
295,"Motz, Glen",M,43,1953,2019,66,61-70
296,"Rogers, Churence",M,43,1953,2019,66,61-70
297,"Stanfield, Robert Lorne",M,28,1914,1968,54,51-60
298,"Thompson, Robert Norman",M,28,1914,1968,54,51-60
299,"Barrett, H. Gordon",M,28,1915,1968,53,51-60
300,"Crossman, Guy F.",M,28,1915,1968,53,51-60
301,"Éthier, Viateur",M,28,1915,1968,53,51-60
302,"Major, Robert Benoit",M,28,1915,1968,53,51-60
303,"Chappell, Hyliard G.",M,28,1916,1968,52,51-60
304,"Danforth, Harold Warren",M,28,1916,1968,52,51-60
305,"Davis, John (Jack)",M,28,1916,1968,52,51-60
306,"Dinsdale, Walter Gilbert",M,28,1916,1968,52,51-60
307,"Forget, Victor",M,28,1916,1968,52,51-60
308,"O'Connell, Martin Patrick",M,28,1916,1968,52,51-60
309,"Thomas, Charles Humbert",M,28,1916,1968,52,51-60
310,"Wahn, Ian Grant",M,28,1916,1968,52,51-60
311,"Woolliams, Eldon Mattison",M,28,1916,1968,52,51-60
312,"Caouette, David Réal",M,28,1917,1968,51,51-60
313,"Aiken, Gordon Harvey",M,28,1918,1968,50,41-50
314,"Boulanger, Prosper",M,28,1918,1968,50,41-50
315,"Mitges, Constantine George (Gus)",M,33,1919,1984,65,61-70
316,"Towers, Thomas Gordon",M,33,1919,1984,65,61-70
317,"Bertrand, Gabrielle",F,34,1923,1988,65,61-70
318,"Porter, Robert Harold",M,34,1923,1988,65,61-70
319,"Grose, Ivan",M,35,1928,1993,65,61-70
320,"Jordan, Jim",M,35,1928,1993,65,61-70
321,"Lincoln, Clifford",M,35,1928,1993,65,61-70
322,"Ringma, Robert  (Bob)",M,35,1928,1993,65,61-70
323,"Bellemare, Eugène",M,36,1932,1997,65,61-70
324,"Godin, Maurice",M,36,1932,1997,65,61-70
325,"Morrison, Lee Glen",M,36,1932,1997,65,61-70
326,"Richardson, John",M,36,1932,1997,65,61-70
327,"Schmidt, Werner",M,36,1932,1997,65,61-70
328,"Williams, John G.",M,35,1932,1993,61,61-70
329,"Pagtakhan, Rey D.",M,37,1935,2000,65,61-70
330,"Catterall, Marlene",F,38,1939,2004,65,61-70
331,"Epp, Ken",M,38,1939,2004,65,61-70
332,"Graham, Bill",M,38,1939,2004,65,61-70
333,"O'Connor, Gordon",M,38,1939,2004,65,61-70
334,"Barbot, Vivian",F,39,1941,2006,65,61-70
335,"Brown, Bonnie",F,39,1941,2006,65,61-70
336,"Carrier, Robert",M,39,1941,2006,65,61-70
337,"Fry, Hedy",F,39,1941,2006,65,61-70
338,"Ménard, Serge",M,39,1941,2006,65,61-70
339,"Mills, Robert (Bob)",M,39,1941,2006,65,61-70
340,"Peterson, James Scott (Jim)",M,39,1941,2006,65,61-70
341,"Tilson, David",M,39,1941,2006,65,61-70
342,"Arthur, André",M,40,1943,2008,65,61-70
343,"Black, Dawn",F,40,1943,2008,65,61-70
344,"Bouchard, Robert",M,40,1943,2008,65,61-70
345,"Kent, Peter",M,40,1943,2008,65,61-70
346,"Lessard, Yves",M,40,1943,2008,65,61-70
347,"Patry, Bernard",M,40,1943,2008,65,61-70
348,"Plamondon, Louis",M,40,1943,2008,65,61-70
349,"Savoie, Denise",F,40,1943,2008,65,61-70
350,"Schellenberger, Gary",M,40,1943,2008,65,61-70
351,"Tonks, Alan",M,40,1943,2008,65,61-70
352,"Bergen, Candice",F,41,1946,2011,65,61-70
353,"Davidson, Patricia",F,41,1946,2011,65,61-70
354,"Genest, Réjean",M,41,1946,2011,65,61-70
355,"Hyer, Bruce",M,41,1946,2011,65,61-70
356,"MacAulay, Lawrence",M,41,1946,2011,65,61-70
357,"MacKenzie, Dave",M,41,1946,2011,65,61-70
358,"Bennett, Carolyn",F,42,1950,2015,65,61-70
359,"McCallum, John",M,42,1950,2015,65,61-70
360,"Obhrai, Deepak",M,42,1950,2015,65,61-70
361,"Pauzé, Monique",F,42,1950,2015,65,61-70
362,"Rankin, Murray",M,42,1950,2015,65,61-70
363,"Warawa, Mark",M,41,1950,2011,61,61-70
364,"Blair, Bill",M,43,1954,2019,65,61-70
365,"Cannings, Richard",M,43,1954,2019,65,61-70
366,"Lehoux, Richard",M,43,1954,2019,65,61-70
367,"May, Elizabeth",F,43,1954,2019,65,61-70
368,"McColeman, Phil",M,43,1954,2019,65,61-70
369,"Morrissey, Robert",M,43,1954,2019,65,61-70
370,"Murray, Joyce",F,43,1954,2019,65,61-70
371,"Schulte, Deborah",F,43,1954,2019,65,61-70
372,"Cantin, Jean-Charles",M,28,1918,1968,50,41-50
373,"Crouse, Lloyd Roseville",M,28,1918,1968,50,41-50
374,"Groos, David Walter",M,28,1918,1968,50,41-50
375,"MacInnis, Donald",M,28,1918,1968,50,41-50
376,"McNulty, James Carroll Patrick",M,28,1918,1968,50,41-50
377,"Nesbitt, Wallace Bickford (Wally)",M,28,1918,1968,50,41-50
378,"Orlikow, David",M,28,1918,1968,50,41-50
379,"Dinsdale, Walter Gilbert",M,32,1916,1980,64,61-70
380,"Hudecki, Stanley",M,32,1916,1980,64,61-70
381,"Munro, Donald W.",M,32,1916,1980,64,61-70
382,"Isabelle, Joseph Gaston",M,33,1920,1984,64,61-70
383,"Winegard, William C.",M,34,1924,1988,64,61-70
384,"Finlay, John Baird",M,35,1929,1993,64,61-70
385,"Loney, Edison John Clayton",M,35,1929,1993,64,61-70
386,"Comuzzi, Joseph R. (Joe)",M,36,1933,1997,64,61-70
387,"Leung, M. Sophia",F,36,1933,1997,64,61-70
388,"Adams, Peter",M,37,1936,2000,64,61-70
389,"Gagnon, Marcel",M,37,1936,2000,64,61-70
390,"Pillitteri, Gary Orazio Vincenzo",M,37,1936,2000,64,61-70
391,"Reed, Julian Alexander Arnott",M,37,1936,2000,64,61-70
392,"Thompson, Myron",M,37,1936,2000,64,61-70
393,"Cotler, Irwin",M,38,1940,2004,64,61-70
394,"Folco, Raymonde",F,38,1940,2004,64,61-70
395,"Hubbard, Charles",M,38,1940,2004,64,61-70
396,"Lalonde, Francine",F,38,1940,2004,64,61-70
397,"Lastewka, Walt",M,38,1940,2004,64,61-70
398,"Lévesque, Yvon",M,38,1940,2004,64,61-70
399,"Perron, Gilles-A.",M,38,1940,2004,64,61-70
400,"Pickard, Jerry",M,38,1940,2004,64,61-70
401,"Wood, Bob",M,37,1940,2000,60,51-60
402,"Abbott, Jim",M,39,1942,2006,64,61-70
403,"Bell, Don",M,39,1942,2006,64,61-70
404,"Bonin, Raymond",M,39,1942,2006,64,61-70
405,"Cummins, John Martin",M,39,1942,2006,64,61-70
406,"Godfrey, John Ferguson",M,39,1942,2006,64,61-70
407,"Neville, Anita",F,39,1942,2006,64,61-70
408,"Savage, Michael John",M,39,1942,2006,64,61-70
409,"Steckle, Paul Daniel",M,39,1942,2006,64,61-70
410,"Goldring, Peter",M,40,1944,2008,64,61-70
411,"Lauzon, Guy",M,40,1944,2008,64,61-70
412,"Oda, Bev",F,40,1944,2008,64,61-70
413,"Sgro, Judy",F,40,1944,2008,64,61-70
414,"Comartin, Joe",M,41,1947,2011,64,61-70
415,"Galipeau, Joseph Bernard Royal Neil",M,41,1947,2011,64,61-70
416,"Hawn, Laurie",M,41,1947,2011,64,61-70
417,"Kerr, Greg",M,41,1947,2011,64,61-70
418,"Kramp, Daryl",M,41,1947,2011,64,61-70
419,"Marston, Wayne",M,41,1947,2011,64,61-70
420,"Richardson, Lee",M,41,1947,2011,64,61-70
421,"Shipley, Bev",M,41,1947,2011,64,61-70
422,"Smith, Joy",F,41,1947,2011,64,61-70
423,"Volpe, Giuseppe (Joseph)",M,40,1947,2008,61,61-70
424,"Carr, Jim",M,42,1951,2015,64,61-70
425,"Kang, Darshan Singh",M,42,1951,2015,64,61-70
426,"Lukiwski, Tom",M,42,1951,2015,64,61-70
427,"Mathyssen, Irene",F,42,1951,2015,64,61-70
428,"McKinnon, Ron",M,42,1951,2015,64,61-70
429,"Ratansi, Yasmin",F,42,1951,2015,64,61-70
430,"Ritz, Gerry",M,42,1951,2015,64,61-70
431,"Chabot, Louise",F,43,1955,2019,64,61-70
432,"El-Khoury, Fayçal",M,43,1955,2019,64,61-70
433,"Fast, Edward",M,43,1955,2019,64,61-70
434,"Findlay, Kerry-Lynne D.",F,43,1955,2019,64,61-70
435,"Pilon, J.-E. Bernard",M,28,1918,1968,50,41-50
436,"Ritchie, William Gordon",M,28,1918,1968,50,41-50
437,"Ryan, Sylvester Perry",M,28,1918,1968,50,41-50
438,"Whicher, Ross Mackenzie",M,28,1918,1968,50,41-50
439,"Blair, Duncan Gordon",M,28,1919,1968,49,41-50
440,"Lambert, Marcel Joseph Aimé",M,28,1919,1968,49,41-50
441,"Osler, Edmund Boyd",M,28,1919,1968,49,41-50
442,"Pelletier, Gérard",M,28,1919,1968,49,41-50
443,"Trudeau, Pierre Elliott",M,28,1919,1968,49,41-50
444,"Trudel, Jacques L.",M,28,1919,1968,49,41-50
445,"Francis, Cyril Lloyd",M,28,1920,1968,48,41-50
446,"Gendron, Rosaire",M,28,1920,1968,48,41-50
447,"Isabelle, Joseph Gaston",M,28,1920,1968,48,41-50
448,"Lamoureux, Lucien",M,28,1920,1968,48,41-50
449,"Sullivan, Gordon Joseph",M,28,1920,1968,48,41-50
450,"Andras, Robert Knight",M,28,1921,1968,47,41-50
451,"Danson, Barnett Jerome",M,28,1921,1968,47,41-50
452,"Hargrave, Herbert Thomas (Bert)",M,32,1917,1980,63,61-70
453,"McCain, Fred Alward",M,32,1917,1980,63,61-70
454,"McKinnon, Allan Bruce",M,32,1917,1980,63,61-70
455,"Reid, Joseph Lloyd",M,32,1917,1980,63,61-70
456,"Kempling, William James",M,33,1921,1984,63,61-70
457,"Scott, William C.",M,33,1921,1984,63,61-70
458,"Benjamin, Leslie Gordon",M,34,1925,1988,63,61-70
459,"Heap, Daniel James Macdonnell",M,34,1925,1988,63,61-70
460,"Hovdebo, Stanley J.",M,34,1925,1988,63,61-70
461,"Layton, Robert E.J.",M,34,1925,1988,63,61-70
462,"Marin, Charles-Eugène",M,34,1925,1988,63,61-70
463,"Mitchell, Margaret Anne",F,34,1925,1988,63,61-70
464,"Caccia, Charles L.",M,35,1930,1993,63,61-70
465,"Dupuy, Michel",M,35,1930,1993,63,61-70
466,"Gaffney, Beryl",F,35,1930,1993,63,61-70
467,"Harris, Richard M.",M,35,1930,1993,63,61-70
